+------------+-----------------+----------------+-------------------+----------------+
|  language  | developer_count | avg_reputation | median_reputation | max_reputation |
+------------+-----------------+----------------+-------------------+----------------+
| clojure    |            4468 |          12228 |              3031 |         385646 |
| scala      |           21670 |          10101 |              1968 |         589324 |
| haskell    |           10707 |           9758 |              2117 |         589324 |
| rust       |            9241 |           9015 |              1504 |         589324 |
| perl       |           15542 |           8971 |              1428 |         908125 |
| ruby       |           45574 |           8905 |              1894 |         678072 |
| c++        |          118173 |           8480 |              1351 |        1003275 |
| c#         |          175192 |           7320 |              1474 |        1357603 |
| elixir     |            2583 |           7270 |              2190 |         273277 |
| go         |           19038 |           6474 |              1360 |        1156679 |
| java       |          246121 |           6265 |              1097 |        1357603 |
| lua        |            5940 |           6098 |               913 |         487104 |
| dart       |           12558 |           5761 |               703 |         577795 |
| typescript |           51082 |           5739 |              1145 |        1003275 |
| javascript |          338217 |           5709 |              1069 |        1053483 |
| python     |          222576 |           5651 |               837 |         985470 |
| php        |          173293 |           4968 |               960 |         694414 |
| swift      |           43469 |           4649 |              1002 |         825848 |
| matlab     |           16992 |           4436 |               761 |         591216 |
| kotlin     |           17796 |           4368 |               969 |         964739 |
| r          |           37807 |           3862 |               794 |         796192 |
| sas        |            2146 |           2570 |               570 |         251590 |
+------------+-----------------+----------------+-------------------+----------------+
